iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9004,9004,15000,9004,0,0,15000,masquerade_fake_fault,class,80011,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,30099,30099,49998,30099,0,0,49998,masquerade_fake_fault,class,80097,54,False,3.342847623278543,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,22394,22394,49998,22394,0,0,49998,masquerade_fake_fault,class,72392,54,True,2.4871168369613503,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,25124,25124,49998,25124,0,0,49998,masquerade_fake_fault,class,75122,54,True,2.790315415370946,False
4,variant_external_test,outputs/dataset_iteration_4.csv,0.9999749687108886,1.0,0.9999331148418166,0.9999665563024648,29902,29902,49998,29900,0,2,49998,masquerade_fake_fault,class,79900,54,True,3.3209684584629056,False
5,variant_external_test,outputs/dataset_iteration_5.csv,0.9670695133176945,1.0,0.8722055773219636,0.9317412445374531,17356,17356,49998,15138,0,2218,49998,masquerade_fake_fault,class,67354,54,True,1.9275877387827631,False
6,variant_external_test,outputs/dataset_iteration_6.csv,0.9991025570221461,1.0,0.9971020954079358,0.9985489451947762,22430,22430,49998,22365,0,65,49998,masquerade_fake_fault,class,72428,54,True,2.491115059973345,False
7,variant_external_test,outputs/dataset_iteration_7.csv,0.958703676558773,1.0,0.8762627270912358,0.9340512012938648,25045,25045,49998,21946,0,3099,49998,masquerade_fake_fault,class,75043,54,True,2.7815415370946246,False
8,variant_external_test,outputs/dataset_iteration_8.csv,0.9968650863037993,1.0,0.9916522548889185,0.9958086332136595,30068,30068,49998,29817,0,251,49998,masquerade_fake_fault,class,80066,54,True,3.339404709018214,False
9,variant_external_test,outputs/dataset_iteration_9.csv,0.9990317717194351,1.0,0.9968608457778376,0.9984279554437657,22299,22299,49998,22229,0,70,49998,masquerade_fake_fault,class,72297,54,True,2.476565970679698,False
