iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9033,9033,15000,9033,0,0,15000,masquerade_fake_fault,class,80107,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,20049,20049,49998,20049,0,0,49998,masquerade_fake_fault,class,70047,54,True,2.219528395881767,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,15010,15010,49998,15010,0,0,49998,masquerade_fake_fault,class,65008,54,True,1.6616849330233587,False
3,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
4,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
5,variant_external_test,outputs/dataset_iteration_5.csv,0.9997465855740504,1.0,0.9992393306109376,0.9996195205959509,24978,24978,49998,24959,0,19,49998,masquerade_fake_fault,class,74976,54,True,2.765194287612089,False
6,variant_external_test,outputs/dataset_iteration_6.csv,0.9998714763087996,1.0,0.9995506291192331,0.999775264064724,20028,20028,49998,20019,0,9,49998,masquerade_fake_fault,class,70026,54,True,2.2172035868482234,False
7,variant_external_test,outputs/dataset_iteration_7.csv,0.9995139732685298,1.0,0.9979800530236081,0.9989890054340957,15842,15842,49998,15810,0,32,49998,masquerade_fake_fault,class,65840,54,True,1.7537916528285176,False
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,14971,14971,49998,14971,0,0,49998,masquerade_fake_fault,class,64969,54,True,1.657367430532492,False
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,17425,17425,49998,17425,0,0,49998,masquerade_fake_fault,class,67423,54,True,1.9290379718808812,False
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,14932,14932,49998,14932,0,0,49998,masquerade_fake_fault,class,64930,54,True,1.653049928041625,False
11,variant_external_test,outputs/dataset_iteration_11.csv,1.0,1.0,1.0,1.0,15021,15021,49998,15021,0,0,49998,masquerade_fake_fault,class,65019,54,True,1.6629026901361674,False
12,variant_external_test,outputs/dataset_iteration_12.csv,1.0,1.0,1.0,1.0,17485,17485,49998,17485,0,0,49998,masquerade_fake_fault,class,67483,54,True,1.9356802834052917,False
13,variant_external_test,outputs/dataset_iteration_13.csv,0.9975932782682996,1.0,0.9916427653051132,0.9958038485412787,20222,20222,49998,20053,0,169,49998,masquerade_fake_fault,class,70220,54,True,2.238680394110484,False
14,variant_external_test,outputs/dataset_iteration_14.csv,0.9999846432629995,1.0,0.9999338624338624,0.9999669301233507,15120,15120,49998,15119,0,1,49998,masquerade_fake_fault,class,65118,54,True,1.6738625041514448,False
15,variant_external_test,outputs/dataset_iteration_15.csv,0.9973683805537173,1.0,0.9885855416861358,0.9942600114128428,14981,14981,49998,14810,0,171,49998,masquerade_fake_fault,class,64979,54,True,1.6584744824532272,False
16,variant_external_test,outputs/dataset_iteration_16.csv,0.9970224391441814,1.0,0.9871997888624967,0.9935586692343449,15156,15156,49998,14962,0,194,49998,masquerade_fake_fault,class,65154,54,True,1.677847891066091,False
17,variant_external_test,outputs/dataset_iteration_17.csv,0.9946463959300778,1.0,0.979455164585698,0.9896209645048455,17620,17620,49998,17258,0,362,49998,masquerade_fake_fault,class,67618,54,True,1.9506254843352153,False
18,variant_external_test,outputs/dataset_iteration_18.csv,0.9938821938022626,1.0,0.9735688670474166,0.9866074433003567,15058,15058,49998,14660,0,398,49998,masquerade_fake_fault,class,65056,54,True,1.6669987822428871,False
19,variant_external_test,outputs/dataset_iteration_19.csv,0.9912684938151831,1.0,0.9695416314139252,0.9845353009551726,20093,20093,49998,19481,0,612,49998,masquerade_fake_fault,class,70091,54,True,2.224399424333001,False
20,variant_external_test,outputs/dataset_iteration_20.csv,0.986949055523755,1.0,0.9541293632431345,0.976526304952126,19882,19882,49998,18970,0,912,49998,masquerade_fake_fault,class,69880,54,True,2.201040628805491,False
21,variant_external_test,outputs/dataset_iteration_21.csv,0.9973727149534003,1.0,0.9914874551971327,0.9957255343082114,22320,22320,49998,22130,0,190,49998,masquerade_fake_fault,class,72318,54,True,2.470939887080704,False
22,variant_external_test,outputs/dataset_iteration_22.csv,0.9872812168781689,1.0,0.955196770938446,0.977085053674649,19820,19820,49998,18932,0,888,49998,masquerade_fake_fault,class,69818,54,True,2.1941769068969337,False
23,variant_external_test,outputs/dataset_iteration_23.csv,0.9877360378995129,1.0,0.9631471307695393,0.9812276580533142,24937,24937,49998,24018,0,919,49998,masquerade_fake_fault,class,74935,54,True,2.760655374737075,False
24,variant_external_test,outputs/dataset_iteration_24.csv,0.9916291049581455,1.0,0.9705837984613064,0.9850723417285463,19887,19887,49998,19302,0,585,49998,masquerade_fake_fault,class,69885,54,True,2.2015941547658584,False
25,variant_external_test,outputs/dataset_iteration_25.csv,0.9953979259986501,1.0,0.9802501645819618,0.9900265957446809,15190,15190,49998,14890,0,300,49998,masquerade_fake_fault,class,65188,54,True,1.6816118675965903,False
26,variant_external_test,outputs/dataset_iteration_26.csv,0.9985179476539111,1.0,0.9942778667887389,0.9971307242052107,17476,17476,49998,17376,0,100,49998,masquerade_fake_fault,class,67474,54,True,1.9346839366766302,False
