iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9014,9014,15000,9014,0,0,15000,masquerade_fake_fault,class,80044,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,20051,20051,49998,20051,0,0,49998,masquerade_fake_fault,class,70049,54,True,2.2244286665187487,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,15188,15188,49998,15188,0,0,49998,masquerade_fake_fault,class,65186,54,True,1.6849345462613712,False
3,variant_external_test,outputs/dataset_iteration_3.csv,0.9999142955090847,1.0,0.9997001499250375,0.9998500524816314,20010,20010,49998,20004,0,6,49998,masquerade_fake_fault,class,70008,54,True,2.219880186376747,False
4,variant_external_test,outputs/dataset_iteration_4.csv,0.9999852241496499,1.0,0.9999434389140271,0.9999717186572018,17680,17680,49998,17679,0,1,49998,masquerade_fake_fault,class,67678,54,True,1.961393388063013,False
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,14978,14978,49998,14978,0,0,49998,masquerade_fake_fault,class,64976,54,True,1.6616374528511204,False
6,variant_external_test,outputs/dataset_iteration_6.csv,0.9971194753013471,1.0,0.9889818058537688,0.9944603846481634,17698,17698,49998,17503,0,195,49998,masquerade_fake_fault,class,67696,54,True,1.9633902817838917,False
7,variant_external_test,outputs/dataset_iteration_7.csv,0.9998858414909101,1.0,0.999601593625498,0.9998007571229328,20080,20080,49998,20072,0,8,49998,masquerade_fake_fault,class,70078,54,True,2.227645884180164,False
8,variant_external_test,outputs/dataset_iteration_8.csv,0.99759766630441,1.0,0.9915721882211297,0.9957682619647356,19934,19934,49998,19766,0,168,49998,masquerade_fake_fault,class,69932,54,True,2.2114488573330373,False
9,variant_external_test,outputs/dataset_iteration_9.csv,0.9998858137908394,1.0,0.9996012560434631,0.9998005882646194,20063,20063,49998,20055,0,8,49998,masquerade_fake_fault,class,70061,54,True,2.2257599289993344,False
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,29877,29877,49998,29877,0,0,49998,masquerade_fake_fault,class,79875,54,True,3.3145107610383846,False
11,variant_external_test,outputs/dataset_iteration_11.csv,1.0,1.0,1.0,1.0,24996,24996,49998,24996,0,0,49998,masquerade_fake_fault,class,74994,54,True,2.7730197470601285,False
12,variant_external_test,outputs/dataset_iteration_12.csv,1.0,1.0,1.0,1.0,19893,19893,49998,19893,0,0,49998,masquerade_fake_fault,class,69891,54,True,2.2069003771910363,False
13,variant_external_test,outputs/dataset_iteration_13.csv,0.9999866429802182,1.0,0.9999597892959106,0.999979894243722,24869,24869,49998,24868,0,1,49998,masquerade_fake_fault,class,74867,54,True,2.7589305524739296,False
14,variant_external_test,outputs/dataset_iteration_14.csv,1.0,1.0,1.0,1.0,19870,19870,49998,19870,0,0,49998,masquerade_fake_fault,class,69868,54,True,2.2043487907699135,False
15,variant_external_test,outputs/dataset_iteration_15.csv,0.9987536544083705,1.0,0.9945971184631803,0.9972912416814367,14992,14992,49998,14911,0,81,49998,masquerade_fake_fault,class,64990,54,True,1.6631905924118038,False
16,variant_external_test,outputs/dataset_iteration_16.csv,1.0,1.0,1.0,1.0,24957,24957,49998,24957,0,0,49998,masquerade_fake_fault,class,74955,54,True,2.768693143998225,False
17,variant_external_test,outputs/dataset_iteration_17.csv,1.0,1.0,1.0,1.0,19986,19986,49998,19986,0,0,49998,masquerade_fake_fault,class,69984,54,True,2.217217661415576,False
18,variant_external_test,outputs/dataset_iteration_18.csv,1.0,1.0,1.0,1.0,17560,17560,49998,17560,0,0,49998,masquerade_fake_fault,class,67558,54,True,1.9480807632571555,False
19,variant_external_test,outputs/dataset_iteration_19.csv,1.0,1.0,1.0,1.0,22620,22620,49998,22620,0,0,49998,masquerade_fake_fault,class,72618,54,True,2.5094297759041493,False
20,variant_external_test,outputs/dataset_iteration_20.csv,1.0,1.0,1.0,1.0,20045,20045,49998,20045,0,0,49998,masquerade_fake_fault,class,70043,54,True,2.2237630352784556,False
21,variant_external_test,outputs/dataset_iteration_21.csv,1.0,1.0,1.0,1.0,29863,29863,49998,29863,0,0,49998,masquerade_fake_fault,class,79861,54,True,3.3129576214777012,False
22,variant_external_test,outputs/dataset_iteration_22.csv,0.999746828696301,1.0,0.9992415169660679,0.9996206146043409,25050,25050,49998,25031,0,19,49998,masquerade_fake_fault,class,75048,54,True,2.779010428222765,False
23,variant_external_test,outputs/dataset_iteration_23.csv,1.0,1.0,1.0,1.0,30075,30075,49998,30075,0,0,49998,masquerade_fake_fault,class,80073,54,True,3.33647659196805,False
24,variant_external_test,outputs/dataset_iteration_24.csv,0.9957222377213609,1.0,0.9872601384767556,0.9935892330970774,25275,25275,49998,24953,0,322,49998,masquerade_fake_fault,class,75273,54,True,2.8039715997337473,False
25,variant_external_test,outputs/dataset_iteration_25.csv,0.9993243919527575,1.0,0.9981957901770798,0.9990970805604789,29930,29930,49998,29876,0,54,49998,masquerade_fake_fault,class,79928,54,True,3.3203905036609718,False
26,variant_external_test,outputs/dataset_iteration_26.csv,0.9998933432879598,1.0,0.9996801151585429,0.9998400319936013,25009,25009,49998,25001,0,8,49998,masquerade_fake_fault,class,75007,54,True,2.7744619480807633,False
27,variant_external_test,outputs/dataset_iteration_27.csv,1.0,1.0,1.0,1.0,20113,20113,49998,20113,0,0,49998,masquerade_fake_fault,class,70111,54,True,2.231306856001775,False
28,variant_external_test,outputs/dataset_iteration_28.csv,1.0,1.0,1.0,1.0,17432,17432,49998,17432,0,0,49998,masquerade_fake_fault,class,67430,54,True,1.9338806301309075,False
29,variant_external_test,outputs/dataset_iteration_29.csv,1.0,1.0,1.0,1.0,22400,22400,49998,22400,0,0,49998,masquerade_fake_fault,class,72398,54,True,2.4850232970934103,False
30,variant_external_test,outputs/dataset_iteration_30.csv,0.999871174601357,1.0,0.9995469190495369,0.9997734081925527,19864,19864,49998,19855,0,9,49998,masquerade_fake_fault,class,69862,54,True,2.2036831595296205,False
