iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9033,9033,15000,9033,0,0,15000,masquerade_fake_fault,class,80107,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,24918,24918,49998,24918,0,0,49998,masquerade_fake_fault,class,74916,54,True,2.7585519760876784,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,19827,19827,49998,19827,0,0,49998,masquerade_fake_fault,class,69825,54,True,2.194951843241448,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,25088,25088,49998,25088,0,0,49998,masquerade_fake_fault,class,75086,54,True,2.777371858740175,False
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,29979,29979,49998,29979,0,0,49998,masquerade_fake_fault,class,79977,54,True,3.318830953171704,False
5,variant_external_test,outputs/dataset_iteration_5.csv,0.9999866721755007,1.0,0.9999600527303959,0.9999800259662439,25033,25033,49998,25032,0,1,49998,masquerade_fake_fault,class,75031,54,True,2.7712830731761318,False
6,variant_external_test,outputs/dataset_iteration_6.csv,0.9999857551886725,1.0,0.9999505024006335,0.9999752505877986,20203,20203,49998,20202,0,1,49998,masquerade_fake_fault,class,70201,54,True,2.2365769954610872,False
7,variant_external_test,outputs/dataset_iteration_7.csv,0.9995557727333304,1.0,0.998289136013687,0.9991438356164384,17535,17535,49998,17505,0,30,49998,masquerade_fake_fault,class,67533,54,True,1.941215543008967,False
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,19860,19860,49998,19860,0,0,49998,masquerade_fake_fault,class,69858,54,True,2.1986051145798737,False
9,variant_external_test,outputs/dataset_iteration_9.csv,0.999955451940068,1.0,0.9998270394926492,0.9999135122668434,17345,17345,49998,17342,0,3,49998,masquerade_fake_fault,class,67343,54,True,1.9201815565150004,False
10,variant_external_test,outputs/dataset_iteration_10.csv,0.9999714424422423,1.0,0.9999001796765822,0.9999500873471425,20036,20036,49998,20034,0,2,49998,masquerade_fake_fault,class,70034,54,True,2.218089228384811,False
11,variant_external_test,outputs/dataset_iteration_11.csv,0.9999258270286308,1.0,0.9997128417183552,0.9998564002412476,17412,17412,49998,17407,0,5,49998,masquerade_fake_fault,class,67410,54,True,1.9275988043839256,False
12,variant_external_test,outputs/dataset_iteration_12.csv,0.9999427966707662,1.0,0.9997992773986351,0.9998996286259159,19928,19928,49998,19924,0,4,49998,masquerade_fake_fault,class,69926,54,True,2.2061330676408724,False
13,variant_external_test,outputs/dataset_iteration_13.csv,0.9999258578249651,1.0,0.9997133027522935,0.9998566308243727,17440,17440,49998,17435,0,5,49998,masquerade_fake_fault,class,67438,54,True,1.9306985497619837,False
14,variant_external_test,outputs/dataset_iteration_14.csv,1.0,1.0,1.0,1.0,20039,20039,49998,20039,0,0,49998,masquerade_fake_fault,class,70037,54,True,2.218421343961032,False
15,variant_external_test,outputs/dataset_iteration_15.csv,1.0,1.0,1.0,1.0,17502,17502,49998,17502,0,0,49998,masquerade_fake_fault,class,67500,54,True,1.9375622716705414,False
16,variant_external_test,outputs/dataset_iteration_16.csv,1.0,1.0,1.0,1.0,20087,20087,49998,20087,0,0,49998,masquerade_fake_fault,class,70085,54,True,2.22373519318056,False
17,variant_external_test,outputs/dataset_iteration_17.csv,1.0,1.0,1.0,1.0,17484,17484,49998,17484,0,0,49998,masquerade_fake_fault,class,67482,54,True,1.9355695782132183,False
18,variant_external_test,outputs/dataset_iteration_18.csv,1.0,1.0,1.0,1.0,14808,14808,49998,14808,0,0,49998,masquerade_fake_fault,class,64806,54,True,1.6393224842245102,False
19,variant_external_test,outputs/dataset_iteration_19.csv,1.0,1.0,1.0,1.0,17429,17429,49998,17429,0,0,49998,masquerade_fake_fault,class,67427,54,True,1.9294807926491753,False
20,variant_external_test,outputs/dataset_iteration_20.csv,1.0,1.0,1.0,1.0,19852,19852,49998,19852,0,0,49998,masquerade_fake_fault,class,69850,54,True,2.1977194730432856,False
21,variant_external_test,outputs/dataset_iteration_21.csv,1.0,1.0,1.0,1.0,17524,17524,49998,17524,0,0,49998,masquerade_fake_fault,class,67522,54,True,1.9399977858961586,False
22,variant_external_test,outputs/dataset_iteration_22.csv,1.0,1.0,1.0,1.0,20116,20116,49998,20116,0,0,49998,masquerade_fake_fault,class,70114,54,True,2.226945643750692,False
23,variant_external_test,outputs/dataset_iteration_23.csv,1.0,1.0,1.0,1.0,17508,17508,49998,17508,0,0,49998,masquerade_fake_fault,class,67506,54,True,1.9382265028229824,False
24,variant_external_test,outputs/dataset_iteration_24.csv,0.9998423820372838,1.0,0.9994441918043555,0.9997220186500215,19791,19791,49998,19780,0,11,49998,masquerade_fake_fault,class,69789,54,True,2.1909664563268016,False
25,variant_external_test,outputs/dataset_iteration_25.csv,1.0,1.0,1.0,1.0,17552,17552,49998,17552,0,0,49998,masquerade_fake_fault,class,67550,54,True,1.9430975312742167,False
26,variant_external_test,outputs/dataset_iteration_26.csv,0.9999571875044596,1.0,0.9998505603985056,0.999925274615787,20075,20075,49998,20072,0,3,49998,masquerade_fake_fault,class,70073,54,True,2.222406730875678,False
27,variant_external_test,outputs/dataset_iteration_27.csv,0.9978704210355078,1.0,0.9918279325804438,0.995897202119779,17621,17621,49998,17477,0,144,49998,masquerade_fake_fault,class,67619,54,True,1.9507361895272888,False
28,variant_external_test,outputs/dataset_iteration_28.csv,0.9999569664194626,1.0,0.9998478316003043,0.9999239100109062,19715,19715,49998,19712,0,3,49998,masquerade_fake_fault,class,69713,54,True,2.182552861729215,False
29,variant_external_test,outputs/dataset_iteration_29.csv,1.0,1.0,1.0,1.0,17432,17432,49998,17432,0,0,49998,masquerade_fake_fault,class,67430,54,True,1.9298129082253959,False
30,variant_external_test,outputs/dataset_iteration_30.csv,1.0,1.0,1.0,1.0,19852,19852,49998,19852,0,0,49998,masquerade_fake_fault,class,69850,54,True,2.1977194730432856,False
