iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,8974,8974,15000,8974,0,0,15000,masquerade_fake_fault,class,79911,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,19848,19848,49998,19848,0,0,49998,masquerade_fake_fault,class,69846,54,True,2.211722754624471,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,15004,15004,49998,15004,0,0,49998,masquerade_fake_fault,class,65002,54,True,1.67194116336082,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,20151,20151,49998,20151,0,0,49998,masquerade_fake_fault,class,70149,54,True,2.245486962335636,False
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,19889,19889,49998,19889,0,0,49998,masquerade_fake_fault,class,69887,54,True,2.2162915088032094,False
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,17277,17277,49998,17277,0,0,49998,masquerade_fake_fault,class,67275,54,True,1.925228437708937,False
6,variant_external_test,outputs/dataset_iteration_6.csv,1.0,1.0,1.0,1.0,19850,19850,49998,19850,0,0,49998,masquerade_fake_fault,class,69848,54,True,2.2119456206819703,False
7,variant_external_test,outputs/dataset_iteration_7.csv,1.0,1.0,1.0,1.0,20138,20138,49998,20138,0,0,49998,masquerade_fake_fault,class,70136,54,True,2.24403833296189,False
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,20132,20132,49998,20132,0,0,49998,masquerade_fake_fault,class,70130,54,True,2.2433697347893915,False
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,19989,19989,49998,19989,0,0,49998,masquerade_fake_fault,class,69987,54,True,2.2274348116781812,False
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,20046,20046,49998,20046,0,0,49998,masquerade_fake_fault,class,70044,54,True,2.2337864943169157,False
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,8958,8958,15000,8958,0,0,15000,masquerade_fake_fault,class,79859,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,19955,19955,49998,19955,0,0,49998,masquerade_fake_fault,class,69953,54,True,2.2276177718240677,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,22599,22599,49998,22599,0,0,49998,masquerade_fake_fault,class,72597,54,True,2.5227729403884798,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,20184,20184,49998,20184,0,0,49998,masquerade_fake_fault,class,70182,54,True,2.2531815137307434,False
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,20104,20104,49998,20104,0,0,49998,masquerade_fake_fault,class,70102,54,True,2.244250948872516,False
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,17460,17460,49998,17460,0,0,49998,masquerade_fake_fault,class,67458,54,True,1.9490957803081046,False
6,variant_external_test,outputs/dataset_iteration_6.csv,1.0,1.0,1.0,1.0,19974,19974,49998,19974,0,0,49998,masquerade_fake_fault,class,69972,54,True,2.229738780977897,False
7,variant_external_test,outputs/dataset_iteration_7.csv,1.0,1.0,1.0,1.0,19931,19931,49998,19931,0,0,49998,masquerade_fake_fault,class,69929,54,True,2.2249386023665996,False
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,19966,19966,49998,19966,0,0,49998,masquerade_fake_fault,class,69964,54,True,2.228845724492074,False
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,19943,19943,49998,19943,0,0,49998,masquerade_fake_fault,class,69941,54,True,2.2262781870953336,False
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,20148,20148,49998,20148,0,0,49998,masquerade_fake_fault,class,70146,54,True,2.249162759544541,False
