iteration,compound-mini,gpt-oss-20b,compound,qwen3-32b,llama3.1-8b,llama3.3-70b,gpt-oss-120b
1,0.9996423410921472,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,1.0,
3,0.9992864889548492,1.0,,1.0,0.9998500524816314,1.0,
4,0.9824484181568088,1.0,,1.0,0.9999717186572018,1.0,
5,0.9650238473767886,1.0,0.9996195205959508,1.0,1.0,0.999980025966244,
6,0.9497391360705144,1.0,0.999775264064724,1.0,0.9944603846481634,0.9999752505877986,
7,0.9590059755287867,1.0,0.9989890054340956,1.0,0.9998007571229328,0.9991438356164384,
8,0.9175691720936928,0.9819975589910496,1.0,1.0,0.9957682619647356,1.0,
9,0.9699399390514511,1.0,1.0,1.0,0.9998005882646194,0.9999135122668434,
10,0.9646610786491684,0.9851638717798858,1.0,1.0,1.0,0.9999500873471424,
11,0.9520660381783218,1.0,1.0,1.0,1.0,0.9998564002412476,
12,0.9713819907420884,1.0,1.0,,1.0,0.999899628625916,
13,0.9907361825911836,1.0,0.9958038485412788,1.0,0.999979894243722,0.9998566308243728,
14,0.992911777662088,0.9985276134860622,0.9999669301233508,1.0,1.0,1.0,
15,0.9421769905271684,0.9935788534078148,0.9942600114128428,1.0,0.9972912416814368,1.0,
16,,0.9656672362901974,0.9935586692343448,1.0,1.0,1.0,
17,,0.9880755638046324,0.9896209645048456,1.0,1.0,1.0,
18,,0.971841320797982,0.9866074433003568,,1.0,1.0,
19,,0.9719067851165186,0.9845353009551726,1.0,1.0,1.0,
20,,1.0,0.976526304952126,1.0,1.0,1.0,
21,,1.0,0.9957255343082114,0.999974790127814,1.0,1.0,
22,,0.9722768936624866,0.977085053674649,1.0,0.9996206146043408,1.0,
23,,0.958338515110061,0.9812276580533142,0.974419804022692,1.0,1.0,
24,,1.0,0.9850723417285464,0.9991789206538776,0.9935892330970774,0.9997220186500216,
25,,1.0,0.9900265957446808,0.9972958629229952,0.9990970805604787,1.0,
26,,1.0,0.9971307242052108,0.9959169271095876,0.9998400319936012,0.999925274615787,0.9999716151007664
27,,1.0,0.997866305193664,0.9775146116740256,1.0,0.995897202119779,
28,,1.0,0.999599267231509,0.9954074334328809,1.0,0.9999239100109062,
29,,1.0,0.9992540653438758,,1.0,1.0,
30,,1.0,0.99930003499825,,0.9997734081925528,1.0,
